#sample	strand	convtype	total_read	read_with_peak	read_with_peak_perc	peaktype
PBEH2_BCBC34_PLASMIDVR20F_2MED2_DESCLINEARPSII_TX	Pos	CH	533	20	3.8	PEAK
PBEH2_BCBC34_PLASMIDVR20F_2MED3_DESCLINEARPSII_TX	Pos	CH	761	27	3.5	PEAK
PBEH2_BCBC34_PLASMIDVR20F_3HGH1_DESCLINEARPSII_TX	Pos	CH	494	15	3	PEAK
PBEH2_BCBC34_PLASMIDVR20F_3HGH2_DESCLINEARPSII_TX	Pos	CH	715	16	2.2	PEAK
PBEH2_BCBC34_PLASMIDVR20F_3HGH3_DESCLINEARPSII_TX	Pos	CH	516	15	2.9	PEAK
PBEH2_BCBC35_PLASMIDVR20F_1LOW1_DESCLINEARPSII_TX_RH1	Pos	CH	1447	8	0.6	PEAK
PBEH2_BCBC35_PLASMIDVR20F_1LOW2_DESCLINEARPSII_TX_RH1	Pos	CH	220	0	0	PEAK
PBEH2_BCBC35_PLASMIDVR20F_1LOW3_DESCLINEARPSII_TX_RH1	Pos	CH	164	1	0.6	PEAK
PBEH2_BCBC35_PLASMIDVR20F_2MED1_DESCLINEARPSII_TX_RH1	Pos	CH	2169	4	0.2	PEAK
PBEH2_BCBC35_PLASMIDVR20F_2MED2_DESCLINEARPSII_TX_RH1	Pos	CH	1347	6	0.4	PEAK
PBEH2_BCBC35_PLASMIDVR20F_2MED3_DESCLINEARPSII_TX_RH1	Pos	CH	1883	8	0.4	PEAK
PBEH2_BCBC35_PLASMIDVR20F_3HGH1_DESCLINEARPSII_TX_RH1	Pos	CH	1398	5	0.4	PEAK
PBEH2_BCBC35_PLASMIDVR20F_3HGH2_DESCLINEARPSII_TX_RH1	Pos	CH	2118	5	0.2	PEAK
PBEH2_BCBC35_PLASMIDVR20F_3HGH3_DESCLINEARPSII_TX_RH1	Pos	CH	1087	3	0.3	PEAK
PBEH2_BCBC36_PLASMIDPFC9_DESCLINEARAPALI_NT	Pos	CH	14	4	28.6	PEAK
PBEH2_BCBC36_PLASMIDT7INIT_VR10_DESCLINEARAPALI_NT	Pos	CH	29	5	17.2	PEAK
PBEH2_BCBC36_PLASMIDT7INIT_VR20_DESCLINEARAPALI_NT	Pos	CH	19	7	36.8	PEAK
PBEH2_BCBC37_PLASMIDPFC9_DESCLINEARAPALI_TX	Pos	CH	858	50	5.8	PEAK
PBEH2_BCBC37_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX	Pos	CH	5786	180	3.1	PEAK
PBEH2_BCBC37_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX	Pos	CH	4033	175	4.3	PEAK
PBEH2_BCBC38_PLASMIDPFC9_DESCLINEARAPALI_TX_RH1	Pos	CH	494	3	0.6	PEAK
PBEH2_BCBC38_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX_RH1	Pos	CH	3631	7	0.2	PEAK
PBEH2_BCBC38_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX_RH1	Pos	CH	2979	7	0.2	PEAK
PBEH2_BCBC39_PLASMIDPFC9_DESCLINEARAPALI_NT_CORPA	Pos	CH	396	20	5.1	PEAK
PBEH2_BCBC39_PLASMIDT7INIT_VR10_DESCLINEARAPALI_NT_CORPA	Pos	CH	3338	70	2.1	PEAK
PBEH2_BCBC39_PLASMIDT7INIT_VR20_DESCLINEARAPALI_NT_CORPA	Pos	CH	2847	75	2.6	PEAK
PBEH2_BCBC40_PLASMIDPFC9_DESCLINEARAPALI_TX_CORPA	Pos	CH	559	350	62.6	PEAK
PBEH2_BCBC40_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX_CORPA	Pos	CH	4168	3010	72.2	PEAK
PBEH2_BCBC40_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX_CORPA	Pos	CH	3742	3219	86	PEAK
PBEH2_BCBC41_PLASMIDPFC9_DESCLINEARAPALI_TX_CORPA_RH1	Pos	CH	1138	30	2.6	PEAK
PBEH2_BCBC41_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX_CORPA_RH1	Pos	CH	5880	191	3.2	PEAK
PBEH2_BCBC41_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX_CORPA_RH1	Pos	CH	4639	188	4.1	PEAK
PBEH2_BCBC42_PLASMIDPFC9_DESCLINEARAPALI_NT_CORPA_DEPROTEINZED	Pos	CH	46	13	28.3	PEAK
PBEH2_BCBC42_PLASMIDT7INIT_VR10_DESCLINEARAPALI_NT_CORPA_DEPROTEINZED	Pos	CH	170	58	34.1	PEAK
PBEH2_BCBC42_PLASMIDT7INIT_VR20_DESCLINEARAPALI_NT_CORPA_DEPROTEINZED	Pos	CH	157	59	37.6	PEAK
PBEH2_BCBC43_PLASMIDPFC9_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED	Pos	CH	862	785	91.1	PEAK
PBEH2_BCBC43_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED	Pos	CH	21987	21835	99.3	PEAK
PBEH2_BCBC43_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED	Pos	CH	22197	22118	99.6	PEAK
PBEH2_BCBC44_PLASMIDPFC9_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED_RH1	Pos	CH	3365	152	4.5	PEAK
PBEH2_BCBC44_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED_RH1	Pos	CH	9223	433	4.7	PEAK
PBEH2_BCBC44_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED_RH1	Pos	CH	7798	285	3.7	PEAK
PBEH2_BCBC45_PLASMIDT7INIT_VR10_DESCSUPERCOIL_NT_COSSB	Pos	CH	788	77	9.8	PEAK
PBEH2_BCBC46_PLASMIDT7INIT_VR10_DESCSUPERCOIL_TX_COSSB	Pos	CH	23	0	0	PEAK
PBEH2_BCBC47_PLASMIDT7INIT_VR10_DESCSUPERCOIL_TX_POSTSSB	Pos	CH	715	18	2.5	PEAK
PBEH2_BCBC48_PLASMIDT7INIT_VR10_DESCSUPERCOIL_TX_COSSB_RH1	Pos	CH	754	10	1.3	PEAK
PBEH2_BCBC49_PLASMIDT7INIT_VR20_DESCSUPERCOIL_NT_COSSB	Pos	CH	1185	119	10	PEAK
PBEH2_BCBC50_PLASMIDT7INIT_VR20_DESCSUPERCOIL_TX_COSSB	Pos	CH	1372	39	2.8	PEAK
PBEH2_BCBC51_PLASMIDT7INIT_VR20_DESCSUPERCOIL_TX_POSTSSB	Pos	CH	774	8	1	PEAK
PBEH2_BCBC52_PLASMIDT7INIT_VR20_DESCSUPERCOIL_TX_COSSB_RH1	Pos	CH	531	10	1.9	PEAK
PBEH2_BCBC53_PLASMIDPFC9_DESCSUPERCOIL_NT_COSSB	Pos	CH	1523	62	4.1	PEAK
PBEH2_BCBC54_PLASMIDPFC9_DESCSUPERCOIL_TX_COSSB	Pos	CH	728	21	2.9	PEAK
PBEH2_BCBC55_PLASMIDPFC9_DESCSUPERCOIL_TX_POSTSSB	Pos	CH	509	24	4.7	PEAK
PBEH2_BCBC56_PLASMIDPFC9_DESCSUPERCOIL_TX_COSSB_RH1	Pos	CH	799	31	3.9	PEAK
PBEH2_BCBC57_PLASMIDPFC53_DESCSUPERCOIL_NT_COSSB	Pos	CH	25	0	0	PEAK
PBEH2_BCBC58_PLASMIDPFC53_DESCSUPERCOIL_TX_COSSB	Pos	CH	15	0	0	PEAK
PBEH2_BCBC59_PLASMIDPFC53_DESCSUPERCOIL_TX_POSTSSB	Pos	CH	6	0	0	PEAK
PBEH2_BCBC60_PLASMIDPFC53_DESCSUPERCOIL_TX_COSSB_RH1	Pos	CH	10	0	0	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR01_DESCSUPERCOIL_NT	Pos	CH	719	1	0.1	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR02_DESCSUPERCOIL_NT	Pos	CH	387	0	0	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR03_DESCSUPERCOIL_NT	Pos	CH	838	0	0	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR04_DESCSUPERCOIL_NT	Pos	CH	454	2	0.4	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR05_DESCSUPERCOIL_NT	Pos	CH	436	1	0.2	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR06_DESCSUPERCOIL_NT	Pos	CH	645	1	0.2	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR07_DESCSUPERCOIL_NT	Pos	CH	509	2	0.4	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR08_DESCSUPERCOIL_NT	Pos	CH	458	0	0	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR09_DESCSUPERCOIL_NT	Pos	CH	728	2	0.3	PEAK
