#sample	strand	convtype	total_read	read_with_peak	read_with_peak_perc	peaktype
PBEH2_BCBC00_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_COSSB	Neg	GH	1287	41	3.2	PEAK_TEMP
PBEH2_BCBC01_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX	Neg	GH	770	28	3.6	PEAK_TEMP
PBEH2_BCBC02_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_RH1	Neg	GH	1911	42	2.2	PEAK_TEMP
PBEH2_BCBC03_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_NICKNTBSPQI13_COSSB	Neg	GH	1273	2	0.2	PEAK_TEMP
PBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13	Neg	GH	6380	178	2.8	PEAK_TEMP
PBEH2_BCBC05_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_RH1	Neg	GH	1373	20	1.5	PEAK_TEMP
PBEH2_BCBC06_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_NT_COSSB	Neg	GH	9791	24	0.2	PEAK_TEMP
PBEH2_BCBC07_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX	Neg	GH	14836	524	3.5	PEAK_TEMP
PBEH2_BCBC08_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX_RH1	Neg	GH	10931	234	2.1	PEAK_TEMP
PBEH2_BCBC09_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_NT_NICKNTBSPQI11_COSSB	Neg	GH	11750	702	6	PEAK_TEMP
PBEH2_BCBC10_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX_NICKNTBSPQI11	Neg	GH	10348	412	4	PEAK_TEMP
PBEH2_BCBC11_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX_NICKNTBSPQI11_RH1	Neg	GH	14921	128	0.9	PEAK_TEMP
PBEH2_BCBC12_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_NT_COSSB	Neg	GH	2068	3	0.1	PEAK_TEMP
PBEH2_BCBC13_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_TX	Neg	GH	18628	47	0.3	PEAK_TEMP
PBEH2_BCBC14_PLASMIDPFC9_NTBSPQI_08_DESCLINEARBSAI_TX_RH1	Neg	GH	729	18	2.5	PEAK_TEMP
