sample_id	plasmid	strand	call_type	filepath
12	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-12_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv
12	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-12_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv
12	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-12_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv
13	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-13_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv
13	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-13_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv
13	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-13_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv
13	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-13_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv
14	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-14_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv
14	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-14_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv
14	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-14_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv
14	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-14_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv
15	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-15_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv
15	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-15_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv
15	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-15_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv
15	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-15_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv
16	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-16_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv
16	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-16_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv
16	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-16_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv
16	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-16_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv
17	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-17_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv
17	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-17_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv
17	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-17_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv
17	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-17_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv
